date,target,model,forecast
2026-01-11,Net Daily Intake,SARIMA,-2.0225165633100315
2026-01-12,Net Daily Intake,SARIMA,-4.479642733714375
2026-01-13,Net Daily Intake,SARIMA,-2.2506509052224133
2026-01-14,Net Daily Intake,SARIMA,-5.498296465034851
2026-01-15,Net Daily Intake,SARIMA,-6.43513586988721
2026-01-16,Net Daily Intake,SARIMA,-5.0797976218797505
2026-01-17,Net Daily Intake,SARIMA,-3.615806443046277
2026-01-18,Net Daily Intake,SARIMA,-2.1527135731154305
2026-01-19,Net Daily Intake,SARIMA,-4.609840261957361
2026-01-20,Net Daily Intake,SARIMA,-2.38084869889071
2025-12-22,Net Daily Intake,Prophet,-17.48534685398523
2025-12-23,Net Daily Intake,Prophet,-1.4326993185688046
2025-12-24,Net Daily Intake,Prophet,-28.415554458914276
2025-12-25,Net Daily Intake,Prophet,-69.16226100825878
2025-12-26,Net Daily Intake,Prophet,-75.9770962583966
2025-12-27,Net Daily Intake,Prophet,-82.16826096972184
2025-12-28,Net Daily Intake,Prophet,-88.22639422410866
2025-12-29,Net Daily Intake,Prophet,-52.24671854880374
2025-12-30,Net Daily Intake,Prophet,-35.71149167554947
2025-12-31,Net Daily Intake,Prophet,-61.8187225550185
2026-01-01,Net Daily Intake,Prophet,-101.29711508770548
2026-01-02,Net Daily Intake,Prophet,-106.45754696395707
2026-01-03,Net Daily Intake,Prophet,-110.62095402867489
2026-01-04,Net Daily Intake,Prophet,-114.29661252322167
2026-01-05,Net Daily Intake,Prophet,-75.60393558017626
2026-01-06,Net Daily Intake,Prophet,-56.054468927835856
2026-01-07,Net Daily Intake,Prophet,-78.88005433405861
2026-01-08,Net Daily Intake,Prophet,-114.84713718499525
2026-01-09,Net Daily Intake,Prophet,-116.30754024251344
2026-01-10,Net Daily Intake,Prophet,-116.62558998084396
2026-01-11,Net Daily Intake,Prophet,-116.3556047966079
2026-01-12,Net Daily Intake,Prophet,-73.66287895347986
2026-01-13,Net Daily Intake,Prophet,-50.104864830664894
2026-01-14,Net Daily Intake,Prophet,-68.95853933627103
2026-01-15,Net Daily Intake,Prophet,-101.03394752905076
2026-01-16,Net Daily Intake,Prophet,-98.72426108223186
2026-01-17,Net Daily Intake,Prophet,-95.43225217589253
2026-01-18,Net Daily Intake,Prophet,-91.74720459203286
2026-01-19,Net Daily Intake,Prophet,-45.8654063823179
2026-01-20,Net Daily Intake,Prophet,-19.370935016597645
2025-12-22,Net Daily Intake,XGBoost,-0.9371374249458313
2025-12-23,Net Daily Intake,XGBoost,0.3682277202606201
2025-12-24,Net Daily Intake,XGBoost,-1.067409634590149
2025-12-25,Net Daily Intake,XGBoost,-3.9056191444396973
2025-12-26,Net Daily Intake,XGBoost,-1.908943772315979
2025-12-27,Net Daily Intake,XGBoost,-0.47260114550590515
2025-12-28,Net Daily Intake,XGBoost,0.4550454914569855
2025-12-29,Net Daily Intake,XGBoost,0.6584913730621338
2025-12-30,Net Daily Intake,XGBoost,0.6584913730621338
2025-12-31,Net Daily Intake,XGBoost,-1.067409634590149
2026-01-01,Net Daily Intake,XGBoost,-5.091495513916016
2026-01-02,Net Daily Intake,XGBoost,-3.35298228263855
2026-01-03,Net Daily Intake,XGBoost,-3.35298228263855
2026-01-04,Net Daily Intake,XGBoost,-3.35298228263855
2026-01-05,Net Daily Intake,XGBoost,-2.5506653785705566
2026-01-06,Net Daily Intake,XGBoost,-3.1928188800811768
2026-01-07,Net Daily Intake,XGBoost,-5.1657023429870605
2026-01-08,Net Daily Intake,XGBoost,-7.455489158630371
2026-01-09,Net Daily Intake,XGBoost,-6.068212032318115
2026-01-10,Net Daily Intake,XGBoost,-4.461155891418457
2026-01-11,Net Daily Intake,XGBoost,-3.35298228263855
2026-01-12,Net Daily Intake,XGBoost,-2.808828115463257
2026-01-13,Net Daily Intake,XGBoost,-2.9346559047698975
2026-01-14,Net Daily Intake,XGBoost,-4.349628448486328
2026-01-15,Net Daily Intake,XGBoost,-8.10566520690918
2026-01-16,Net Daily Intake,XGBoost,-6.068212032318115
2026-01-17,Net Daily Intake,XGBoost,-4.461155891418457
2026-01-18,Net Daily Intake,XGBoost,-3.35298228263855
2026-01-19,Net Daily Intake,XGBoost,-2.808828115463257
2026-01-20,Net Daily Intake,XGBoost,-3.1928188800811768
2025-12-22,Discharge Volume,Moving Average,10.214285714285714
2025-12-23,Discharge Volume,Moving Average,10.214285714285714
2025-12-24,Discharge Volume,Moving Average,10.214285714285714
2025-12-25,Discharge Volume,Moving Average,10.214285714285714
2025-12-26,Discharge Volume,Moving Average,10.214285714285714
2025-12-27,Discharge Volume,Moving Average,10.214285714285714
2025-12-28,Discharge Volume,Moving Average,10.214285714285714
2025-12-29,Discharge Volume,Moving Average,10.214285714285714
2025-12-30,Discharge Volume,Moving Average,10.214285714285714
2025-12-31,Discharge Volume,Moving Average,10.214285714285714
2026-01-01,Discharge Volume,Moving Average,10.214285714285714
2026-01-02,Discharge Volume,Moving Average,10.214285714285714
2026-01-03,Discharge Volume,Moving Average,10.214285714285714
2026-01-04,Discharge Volume,Moving Average,10.214285714285714
2026-01-05,Discharge Volume,Moving Average,10.214285714285714
2026-01-06,Discharge Volume,Moving Average,10.214285714285714
2026-01-07,Discharge Volume,Moving Average,10.214285714285714
2026-01-08,Discharge Volume,Moving Average,10.214285714285714
2026-01-09,Discharge Volume,Moving Average,10.214285714285714
2026-01-10,Discharge Volume,Moving Average,10.214285714285714
2026-01-11,Discharge Volume,Moving Average,10.214285714285714
2026-01-12,Discharge Volume,Moving Average,10.214285714285714
2026-01-13,Discharge Volume,Moving Average,10.214285714285714
2026-01-14,Discharge Volume,Moving Average,10.214285714285714
2026-01-15,Discharge Volume,Moving Average,10.214285714285714
2026-01-16,Discharge Volume,Moving Average,10.214285714285714
2026-01-17,Discharge Volume,Moving Average,10.214285714285714
2026-01-18,Discharge Volume,Moving Average,10.214285714285714
2026-01-19,Discharge Volume,Moving Average,10.214285714285714
2026-01-20,Discharge Volume,Moving Average,10.214285714285714
2025-12-22,Discharge Volume,Random Forest,10.988220916649494
2025-12-23,Discharge Volume,Random Forest,9.495056952994103
2025-12-24,Discharge Volume,Random Forest,10.026856774336776
2025-12-25,Discharge Volume,Random Forest,10.653425796055792
2025-12-26,Discharge Volume,Random Forest,9.532972164502162
2025-12-27,Discharge Volume,Random Forest,8.31017039442039
2025-12-28,Discharge Volume,Random Forest,6.831849333999337
2025-12-29,Discharge Volume,Random Forest,10.165078354978357
2025-12-30,Discharge Volume,Random Forest,9.660192834255696
2025-12-31,Discharge Volume,Random Forest,9.526432169312173
2026-01-01,Discharge Volume,Random Forest,12.564615605029893
2026-01-02,Discharge Volume,Random Forest,11.199286601388044
2026-01-03,Discharge Volume,Random Forest,9.557258087679523
2026-01-04,Discharge Volume,Random Forest,6.976895863395861
2026-01-05,Discharge Volume,Random Forest,9.05176211788212
2026-01-06,Discharge Volume,Random Forest,10.041761980241981
2026-01-07,Discharge Volume,Random Forest,10.587254403691547
2026-01-08,Discharge Volume,Random Forest,11.173192650101223
2026-01-09,Discharge Volume,Random Forest,10.23161777571635
2026-01-10,Discharge Volume,Random Forest,9.129909903799906
2026-01-11,Discharge Volume,Random Forest,6.433346488696487
2026-01-12,Discharge Volume,Random Forest,8.936852240352241
2026-01-13,Discharge Volume,Random Forest,9.6498526007326
2026-01-14,Discharge Volume,Random Forest,10.37645192585192
2026-01-15,Discharge Volume,Random Forest,11.852867243867243
2026-01-16,Discharge Volume,Random Forest,10.60948484230056
2026-01-17,Discharge Volume,Random Forest,8.80803826358826
2026-01-18,Discharge Volume,Random Forest,6.372004625004624
2026-01-19,Discharge Volume,Random Forest,10.09678494838495
2026-01-20,Discharge Volume,Random Forest,10.365927737024881
2025-12-22,Discharge Volume,Exponential Smoothing,13.58894311612679
2025-12-23,Discharge Volume,Exponential Smoothing,13.177886228444699
2025-12-24,Discharge Volume,Exponential Smoothing,12.766829340762605
2025-12-25,Discharge Volume,Exponential Smoothing,12.355772453080514
2025-12-26,Discharge Volume,Exponential Smoothing,11.944715565398422
2025-12-27,Discharge Volume,Exponential Smoothing,11.533658677716328
2025-12-28,Discharge Volume,Exponential Smoothing,11.122601790034237
2025-12-29,Discharge Volume,Exponential Smoothing,10.711544902352145
2025-12-30,Discharge Volume,Exponential Smoothing,10.300488014670053
2025-12-31,Discharge Volume,Exponential Smoothing,9.889431126987962
2026-01-01,Discharge Volume,Exponential Smoothing,9.478374239305868
2026-01-02,Discharge Volume,Exponential Smoothing,9.067317351623776
2026-01-03,Discharge Volume,Exponential Smoothing,8.656260463941685
2026-01-04,Discharge Volume,Exponential Smoothing,8.245203576259591
2026-01-05,Discharge Volume,Exponential Smoothing,7.8341466885774995
2026-01-06,Discharge Volume,Exponential Smoothing,7.423089800895408
2026-01-07,Discharge Volume,Exponential Smoothing,7.012032913213316
2026-01-08,Discharge Volume,Exponential Smoothing,6.6009760255312235
2026-01-09,Discharge Volume,Exponential Smoothing,6.189919137849131
2026-01-10,Discharge Volume,Exponential Smoothing,5.778862250167039
2026-01-11,Discharge Volume,Exponential Smoothing,5.3678053624849476
2026-01-12,Discharge Volume,Exponential Smoothing,4.956748474802854
2026-01-13,Discharge Volume,Exponential Smoothing,4.545691587120762
2026-01-14,Discharge Volume,Exponential Smoothing,4.134634699438671
2026-01-15,Discharge Volume,Exponential Smoothing,3.723577811756579
2026-01-16,Discharge Volume,Exponential Smoothing,3.3125209240744873
2026-01-17,Discharge Volume,Exponential Smoothing,2.901464036392394
2026-01-18,Discharge Volume,Exponential Smoothing,2.490407148710302
2026-01-19,Discharge Volume,Exponential Smoothing,2.0793502610282104
2026-01-20,Discharge Volume,Exponential Smoothing,1.668293373346117
2025-12-22,Discharge Volume,SARIMA,14.309419314544328
2025-12-23,Discharge Volume,SARIMA,13.852852730913156
2025-12-24,Discharge Volume,SARIMA,14.37819459841042
2025-12-25,Discharge Volume,SARIMA,15.640962225320495
2025-12-26,Discharge Volume,SARIMA,13.616508594701308
2025-12-27,Discharge Volume,SARIMA,11.688880001820783
2025-12-28,Discharge Volume,SARIMA,9.826495536719799
2025-12-29,Discharge Volume,SARIMA,11.831259068922192
2025-12-30,Discharge Volume,SARIMA,12.406981754398485
2025-12-31,Discharge Volume,SARIMA,13.560881011017862
2026-01-01,Discharge Volume,SARIMA,15.206375072507273
2026-01-02,Discharge Volume,SARIMA,13.414962252895641
2026-01-03,Discharge Volume,SARIMA,11.629231409133888
2026-01-04,Discharge Volume,SARIMA,9.853247995925573
2026-01-05,Discharge Volume,SARIMA,11.910620831760479
2026-01-06,Discharge Volume,SARIMA,12.518377141458574
2026-01-07,Discharge Volume,SARIMA,13.69178156180244
2026-01-08,Discharge Volume,SARIMA,15.349152250465998
2026-01-09,Discharge Volume,SARIMA,13.564971068333863
2026-01-10,Discharge Volume,SARIMA,11.78364354378623
2026-01-11,Discharge Volume,SARIMA,10.01034129651805
2026-01-12,Discharge Volume,SARIMA,12.0693466850817
2026-01-13,Discharge Volume,SARIMA,12.678097050527047
2026-01-14,Discharge Volume,SARIMA,13.852106747999944
2026-01-15,Discharge Volume,SARIMA,15.509845987827703
2026-01-16,Discharge Volume,SARIMA,13.725889215233142
2026-01-17,Discharge Volume,SARIMA,11.944698332881892
2026-01-18,Discharge Volume,SARIMA,10.1714792865776
2026-01-19,Discharge Volume,SARIMA,12.230535335922294
2026-01-20,Discharge Volume,SARIMA,12.839316548543152
2025-12-22,Discharge Volume,Prophet,3.185393291478171
2025-12-23,Discharge Volume,Prophet,-16.59056123577097
2025-12-24,Discharge Volume,Prophet,10.519083784394013
2025-12-25,Discharge Volume,Prophet,48.74215077099414
2025-12-26,Discharge Volume,Prophet,48.953632394161644
2025-12-27,Discharge Volume,Prophet,48.34640612149749
2025-12-28,Discharge Volume,Prophet,47.56690636711017
2025-12-29,Discharge Volume,Prophet,-0.7935779270166918
2025-12-30,Discharge Volume,Prophet,-21.76205941018805
2025-12-31,Discharge Volume,Prophet,4.161609744668851
2026-01-01,Discharge Volume,Prophet,41.20726915953675
2026-01-02,Discharge Volume,Prophet,40.25177178955625
2026-01-03,Discharge Volume,Prophet,38.48985842575463
2026-01-04,Discharge Volume,Prophet,36.569986142005064
2026-01-05,Discharge Volume,Prophet,-12.914227905932783
2026-01-06,Discharge Volume,Prophet,-34.987032516955175
2026-01-07,Discharge Volume,Prophet,-10.144971921061213
2026-01-08,Discharge Volume,Prophet,25.845727601424223
2026-01-09,Discharge Volume,Prophet,23.866531061985825
2026-01-10,Discharge Volume,Prophet,21.117487950803216
2026-01-11,Discharge Volume,Prophet,18.25304450311959
2026-01-12,Discharge Volume,Prophet,-32.12656412098959
2026-01-13,Discharge Volume,Prophet,-55.03842630972251
2026-01-14,Discharge Volume,Prophet,-30.971502919655844
2026-01-15,Discharge Volume,Prophet,4.315836602999596
2026-01-16,Discharge Volume,Prophet,1.7130120099567492
2026-01-17,Discharge Volume,Prophet,-1.5720712217148787
2026-01-18,Discharge Volume,Prophet,-4.877421639292848
2026-01-19,Discharge Volume,Prophet,-55.595790634429065
2026-01-20,Discharge Volume,Prophet,-78.73800808300447
2025-12-22,Discharge Volume,XGBoost,12.746844291687012
2025-12-23,Discharge Volume,XGBoost,12.13791275024414
2025-12-24,Discharge Volume,XGBoost,13.639233589172363
2025-12-25,Discharge Volume,XGBoost,17.137569427490234
2025-12-26,Discharge Volume,XGBoost,14.294584274291992
2025-12-27,Discharge Volume,XGBoost,13.031617164611816
2025-12-28,Discharge Volume,XGBoost,11.7946195602417
2025-12-29,Discharge Volume,XGBoost,11.8018798828125
2025-12-30,Discharge Volume,XGBoost,12.258406639099121
2025-12-31,Discharge Volume,XGBoost,13.862342834472656
2026-01-01,Discharge Volume,XGBoost,17.055265426635742
2026-01-02,Discharge Volume,XGBoost,13.065120697021484
2026-01-03,Discharge Volume,XGBoost,10.565155982971191
2026-01-04,Discharge Volume,XGBoost,9.822247505187988
2026-01-05,Discharge Volume,XGBoost,9.8568696975708
2026-01-06,Discharge Volume,XGBoost,10.238030433654785
2026-01-07,Discharge Volume,XGBoost,12.944924354553223
2026-01-08,Discharge Volume,XGBoost,16.114227294921875
2026-01-09,Discharge Volume,XGBoost,13.065120697021484
2026-01-10,Discharge Volume,XGBoost,10.342047691345215
2026-01-11,Discharge Volume,XGBoost,9.101061820983887
2026-01-12,Discharge Volume,XGBoost,9.1356840133667
2026-01-13,Discharge Volume,XGBoost,10.014921188354492
2026-01-14,Discharge Volume,XGBoost,12.944924354553223
2026-01-15,Discharge Volume,XGBoost,15.908098220825195
2026-01-16,Discharge Volume,XGBoost,12.195489883422852
2026-01-17,Discharge Volume,XGBoost,9.697622299194336
2026-01-18,Discharge Volume,XGBoost,7.937071323394775
2026-01-19,Discharge Volume,XGBoost,9.1356840133667
2026-01-20,Discharge Volume,XGBoost,10.014921188354492
