date,total_system_load,hhs_care,cbp_custody,net_daily_intake,transferred_out_cbp,discharged_hhs,observed_days
2023-01-01,7198.925,7153.4,45.525,-1580.0,276.0,1856.0,8
2023-02-01,7953.107142857143,7780.892857142857,172.21428571428572,-2546.0,2637.0,5183.0,19
2023-03-01,8162.1612903225805,7915.209677419355,246.9516129032258,-1976.0,3399.0,5375.0,19
2023-04-01,8101.866666666667,7850.8,251.06666666666666,-1701.0,3967.0,5668.0,21
2023-05-01,8359.467741935483,8149.096774193548,210.3709677419355,-2634.0,3622.0,6256.0,22
2023-06-01,6278.394444444445,6134.761111111112,143.63333333333333,-1613.0,2416.0,4029.0,20
2023-07-01,7033.13440860215,6789.602150537634,243.53225806451613,-510.0,3897.0,4407.0,21
2023-08-01,9558.709677419354,9322.451612903225,236.25806451612902,-2883.0,3587.0,6470.0,20
2023-09-01,10925.7,10641.566666666668,284.1333333333333,-2575.0,3971.0,6546.0,19
2023-10-01,10327.516129032258,10225.241935483871,102.2741935483871,-5609.0,2049.0,7658.0,22
2023-11-01,9881.816666666668,9691.416666666666,190.4,-2794.0,3198.0,5992.0,20
2023-12-01,11229.935483870968,11046.758064516129,183.17741935483872,-3699.0,3105.0,6804.0,19
2024-01-01,8949.741935483871,8788.516129032258,161.2258064516129,-3646.0,2850.0,6496.0,22
2024-02-01,8757.672413793103,8305.603448275862,452.0689655172414,1059.0,6332.0,5273.0,20
2024-03-01,8687.90322580645,8362.838709677419,325.06451612903226,-469.0,5209.0,5678.0,21
2024-04-01,7318.633333333333,7013.933333333333,304.7,704.0,5178.0,4474.0,22
2024-05-01,7826.887096774193,7487.768817204302,339.1182795698925,858.0,5194.0,4336.0,21
2024-06-01,7680.2,7398.4222222222215,281.77777777777777,-29.0,4882.0,4911.0,21
2024-07-01,6511.177419354839,6299.435483870968,211.74193548387098,-220.0,3679.0,3899.0,21
2024-08-01,6276.895161290323,6019.435483870968,257.4596774193548,473.0,3546.0,3073.0,19
2024-09-01,6443.058333333333,6207.183333333333,235.875,295.0,3987.0,3692.0,22
2024-10-01,6267.580645161291,6027.532258064516,240.0483870967742,692.0,3886.0,3194.0,21
2024-11-01,6162.5,5929.716666666666,232.78333333333333,413.0,3414.0,3001.0,19
2024-12-01,6698.596774193548,6435.241935483871,263.35483870967744,733.0,4395.0,3662.0,22
2025-01-01,5081.247311827957,4991.10752688172,90.13978494623656,-1580.0,1750.0,3330.0,22
2025-02-01,2796.3214285714284,2774.7440476190473,21.577380952380953,-819.0,341.0,1160.0,19
2025-03-01,2187.2043010752686,2165.849462365591,21.35483870967742,-119.0,190.0,309.0,22
2025-04-01,2297.6,2273.4,24.2,27.0,230.0,203.0,23
2025-05-01,2451.3709677419356,2419.6451612903224,31.725806451612904,47.0,252.0,205.0,18
2025-06-01,2515.516666666667,2495.4666666666667,20.05,-143.0,138.0,281.0,17
2025-07-01,2209.483870967742,2194.8225806451615,14.661290322580646,-308.0,88.0,396.0,21
2025-08-01,2028.5806451612902,2003.1935483870968,25.387096774193548,-107.0,147.0,254.0,20
2025-09-01,2118.766666666667,2082.9333333333334,35.833333333333336,23.0,260.0,237.0,22
2025-10-01,2263.8709677419356,2229.489247311828,34.38172043010753,21.0,263.0,242.0,21
2025-11-01,2363.116666666667,2329.411111111111,33.705555555555556,23.0,182.0,159.0,19
2025-12-01,2482.714285714286,2446.714285714286,36.0,-20.0,124.0,144.0,15
